SRIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
"4620788.00 (SR), Montréal (RMR) (4620788.00) (00000)",5765,770,3245,1745,2905,680,105,50,245,1820,5,5,0,2905,1335,950,315,190,110,52400,5545,975,17.6,2935,1225,1710,2935,130,840,590,455,340,335,185,60,250000,268500,745,800
"4620789.01 (SR), Montréal (RMR) (4620789.01) (00000)",5210,925,3460,820,2165,1275,55,0,230,580,0,15,0,2160,590,785,355,265,165,83000,5205,405,7.8,2150,1470,680,2150,100,425,210,540,315,355,120,80,300000,356400,820,832
"4620789.02 (SR), Montréal (RMR) (4620789.02) (00000)",3965,720,2625,620,1810,580,45,180,230,770,0,5,0,1815,610,645,270,190,85,72000,3965,355,9,1830,940,890,1830,20,130,195,185,170,140,420,565,300000,291500,1060,1058
"4620790.01 (SR), Montréal (RMR) (4620790.01) (00000)",4825,945,3120,755,2045,1165,80,5,185,595,0,15,0,2040,610,725,295,275,135,81000,4815,405,8.4,2055,1335,720,2055,85,320,245,185,190,390,340,290,340000,362400,910,934
"4620790.02 (SR), Montréal (RMR) (4620790.02) (00000)",3735,550,2495,690,1705,835,60,0,120,685,0,5,0,1705,605,650,180,180,95,74000,3670,310,8.5,1715,1195,520,1715,35,230,250,245,165,370,270,135,300000,355000,800,820
"4620791.01 (SR), Montréal (RMR) (4620791.01) (00000)",3185,595,2045,545,1255,975,55,20,130,75,0,0,0,1255,265,490,215,195,95,97000,3165,145,4.6,1265,1090,165,1265,0,220,555,295,95,30,35,25,348000,347000,830,930
"4620791.02 (SR), Montréal (RMR) (4620791.02) (00000)",6965,1685,4375,900,2770,1325,240,95,180,930,0,5,0,2770,685,965,460,430,220,90000,6955,465,6.7,2760,2040,725,2760,35,310,180,435,250,520,605,425,340000,334400,1000,1006
"4620792.00 (SR), Montréal (RMR) (4620792.00) (00000)",4595,805,3015,770,1885,1600,80,5,130,55,0,10,0,1880,465,740,270,250,145,85000,4590,395,8.6,1865,1550,320,1865,145,575,425,245,130,155,75,115,300000,346800,690,775
"4620800.01 (SR), Montréal (RMR) (4620800.01) (00000)",5370,1020,3510,835,2040,1290,185,70,70,425,0,0,0,2040,485,655,335,365,200,88000,5360,500,9.4,2040,1600,440,2040,415,470,185,210,120,275,100,260,352000,414000,1030,1100
"4620800.02 (SR), Montréal (RMR) (4620800.02) (00000)",5635,945,3360,1330,2465,1165,205,15,40,1030,0,0,0,2465,990,650,310,305,205,63600,5620,675,12,2465,1300,1165,2465,440,865,245,295,240,115,90,170,320000,342800,860,1124
"4620801.00 (SR), Montréal (RMR) (4620801.00) (00000)",7555,1395,4700,1450,2995,1905,155,0,140,775,0,15,0,2995,815,970,510,440,260,77500,7495,750,10,2995,2065,925,2995,755,1345,340,200,145,80,70,60,340000,352400,850,864
"4620802.00 (SR), Montréal (RMR) (4620802.00) (00000)",3315,550,2170,590,1330,995,50,5,165,120,0,0,0,1330,340,475,240,160,105,81000,3265,290,8.9,1330,965,360,1330,420,520,195,75,30,30,30,40,324000,355000,910,896
"4620804.01 (SR), Montréal (RMR) (4620804.01) (00000)",7905,1420,4915,1570,3215,1690,250,70,90,1105,0,10,0,3215,965,1085,465,435,265,78000,7720,730,9.4,3195,2080,1115,3195,425,950,545,460,90,220,275,245,324000,335600,930,914
"4620804.02 (SR), Montréal (RMR) (4620804.02) (00000)",2345,525,1510,305,820,645,10,25,20,120,0,0,0,820,165,240,140,150,120,100000,2335,165,7,845,715,125,845,155,120,65,110,35,195,90,65,400000,392000,600,770
"4620805.01 (SR), Montréal (RMR) (4620805.01) (00000)",5615,1025,3250,1335,2060,1195,75,50,35,710,0,0,0,2065,575,645,290,315,240,83000,5300,425,8,2065,1675,390,2065,175,595,195,125,120,410,420,35,300000,336000,1100,1240
"4620805.02 (SR), Montréal (RMR) (4620805.02) (00000)",4135,675,2475,985,1620,1205,20,0,40,285,70,0,0,1615,465,520,245,235,140,71000,3975,485,12.2,1615,1205,410,1615,465,825,180,105,20,0,10,0,300000,312500,725,760
"4620806.01 (SR), Montréal (RMR) (4620806.01) (00000)",3540,685,2255,600,1430,780,70,35,80,470,0,0,0,1430,390,505,240,175,130,70500,3520,505,14.4,1425,930,500,1425,105,790,230,55,75,70,35,65,332000,328000,760,776
"4620806.02 (SR), Montréal (RMR) (4620806.02) (00000)",5410,1090,3380,935,1945,1700,70,0,35,130,0,0,0,1940,350,685,310,365,240,93000,5405,260,4.9,1950,1775,175,1950,190,925,370,80,55,135,175,20,348000,351600,900,1000
"4620807.01 (SR), Montréal (RMR) (4620807.01) (00000)",9510,2100,6200,1205,3410,2560,210,120,90,410,0,15,0,3410,635,1105,630,640,390,107000,9450,475,5,3390,2855,530,3390,250,740,560,430,285,480,170,475,400000,403600,1060,1092
"4620807.02 (SR), Montréal (RMR) (4620807.02) (00000)",5115,1140,3175,800,1990,1280,185,35,75,400,0,15,0,1990,460,715,325,305,190,90000,5120,325,6.4,2010,1510,500,2010,180,600,265,180,65,220,340,165,348000,359600,785,900
"4620825.02 (SR), Montréal (RMR) (4620825.02) (00000)",3810,610,2420,775,1550,880,60,110,5,495,0,0,0,1555,450,495,240,240,130,73500,3805,405,10.6,1545,1025,515,1545,95,1220,115,45,15,30,15,0,400000,399000,890,976
"4620825.03 (SR), Montréal (RMR) (4620825.03) (00000)",6130,1225,3870,1030,2540,520,110,55,60,1650,150,5,0,2540,845,760,380,295,255,62400,6125,985,16.1,2490,865,1625,2490,255,1295,375,185,125,95,60,95,348000,387000,920,967
"4620825.04 (SR), Montréal (RMR) (4620825.04) (00000)",5260,750,3240,1270,2195,720,420,295,0,405,360,0,0,2195,635,740,375,275,170,72000,5260,660,12.5,2190,1540,655,2190,115,1575,145,80,120,120,15,25,352000,366000,940,996
"4620825.05 (SR), Montréal (RMR) (4620825.05) (00000)",5180,930,3180,1075,2140,695,110,280,35,990,40,0,0,2145,675,665,325,295,185,69500,5180,735,14.2,2190,1145,1045,2190,245,1460,135,125,90,70,30,35,400000,432000,900,960
"4620825.06 (SR), Montréal (RMR) (4620825.06) (00000)",5200,895,3170,1135,1930,1160,165,120,30,340,120,0,0,1925,410,640,320,370,190,91000,5150,365,7.1,1955,1485,470,1955,115,1350,155,70,100,60,85,20,448000,429200,980,984
"4620825.07 (SR), Montréal (RMR) (4620825.07) (00000)",7000,1475,4765,760,2890,550,565,80,75,1445,180,0,0,2890,885,875,470,435,225,87000,7000,650,9.2,2940,2055,885,2940,20,290,65,120,430,1105,815,100,352000,459200,1210,1296
"4620825.08 (SR), Montréal (RMR) (4620825.08) (00000)",3585,625,2565,395,1650,140,100,160,0,1020,235,0,0,1645,625,515,240,180,90,86000,3580,335,9.4,1600,985,615,1600,20,0,15,15,75,660,85,725,400000,477000,1450,1540
"4620826.02 (SR), Montréal (RMR) (4620826.02) (00000)",4670,770,2855,1045,1735,1240,195,85,5,210,0,0,0,1730,325,635,290,315,170,97000,4650,415,9,1725,1535,195,1725,100,1365,180,65,15,0,0,10,500000,505200,1210,1110
"4620826.05 (SR), Montréal (RMR) (4620826.05) (00000)",4020,515,2370,1130,1630,590,440,190,5,200,200,0,0,1635,395,625,270,205,140,93000,4000,375,9.3,1660,1345,320,1660,55,425,595,160,195,65,150,25,480000,498000,1270,1345
"4620826.06 (SR), Montréal (RMR) (4620826.06) (00000)",3965,720,2445,800,1480,775,100,15,0,590,0,0,0,1480,340,465,260,250,160,80000,3960,570,14.4,1450,895,555,1450,85,1120,130,90,10,15,0,0,500000,499000,880,980
"4620826.07 (SR), Montréal (RMR) (4620826.07) (00000)",5435,420,2295,2715,2160,545,150,25,0,135,1300,0,0,2160,820,850,210,195,85,79500,4400,455,10.4,2160,1365,790,2160,10,125,1035,180,135,155,90,425,500000,530500,1720,1848
"4620826.08 (SR), Montréal (RMR) (4620826.08) (00000)",3335,575,1880,885,1230,825,0,200,0,195,0,0,0,1225,235,440,195,225,130,109000,3335,265,7.9,1225,1155,75,1225,15,655,500,40,10,0,10,0,600000,595000,1230,1240
"4620826.09 (SR), Montréal (RMR) (4620826.09) (00000)",3765,460,2005,1300,1180,885,0,25,0,150,115,0,0,1175,170,470,200,200,135,114000,3280,305,9.2,1200,1070,130,1200,20,115,800,155,80,15,0,0,800000,764000,1060,1460
"4620826.10 (SR), Montréal (RMR) (4620826.10) (00000)",6085,1005,3855,1225,2270,1090,215,105,30,830,0,0,0,2275,535,680,425,395,235,89000,6075,745,12.2,2270,1880,390,2270,75,105,520,545,685,180,95,65,500000,598000,1230,1260
"4620826.11 (SR), Montréal (RMR) (4620826.11) (00000)",4255,645,2485,1120,1600,570,140,80,5,805,0,0,0,1595,445,525,275,225,125,77000,3925,525,13.4,1605,895,705,1605,90,915,420,105,10,35,20,0,452000,470000,850,926
"4620826.13 (SR), Montréal (RMR) (4620826.13) (00000)",3880,600,2545,735,1340,1060,55,120,5,100,0,0,0,1340,185,445,260,300,150,113000,3875,310,8,1320,1235,85,1320,0,130,355,340,375,70,15,35,690000,654000,1270,1480
"4620826.15 (SR), Montréal (RMR) (4620826.15) (00000)",8175,1495,5845,835,3645,410,580,160,160,1980,355,0,0,3640,1280,1130,555,480,190,84000,8170,925,11.3,3615,2440,1175,3615,25,195,225,85,240,725,1025,1105,400000,428800,1400,1420
"4620826.16 (SR), Montréal (RMR) (4620826.16) (00000)",4540,835,2900,805,1530,625,85,40,70,520,195,0,0,1535,375,450,255,290,165,101000,4120,500,12.2,1560,1280,280,1560,0,50,20,35,250,415,520,265,556000,926000,1450,1520
"4620827.02 (SR), Montréal (RMR) (4620827.02) (00000)",7400,1050,4530,1815,3735,765,65,275,165,2320,115,30,0,3735,1690,1245,390,275,135,61200,7205,1080,15,3735,1735,2005,3735,800,1155,725,490,260,90,65,155,320000,353200,860,880
"4620827.03 (SR), Montréal (RMR) (4620827.03) (00000)",7285,1295,4820,1175,2795,2255,0,0,5,400,130,0,5,2795,600,990,425,555,225,111000,7285,330,4.5,2800,2575,225,2800,15,650,1050,555,75,65,350,30,448000,473600,1020,1090
"4620827.04 (SR), Montréal (RMR) (4620827.04) (00000)",11720,2425,7780,1520,4515,2775,170,190,145,1180,0,50,0,4520,1080,1410,765,900,365,115000,11705,560,4.8,4515,3630,885,4515,390,240,170,855,835,570,250,1205,500000,543000,1020,1206
"4620828.03 (SR), Montréal (RMR) (4620828.03) (00000)",4945,1035,3170,735,1970,1160,110,285,0,375,45,0,0,1970,500,635,330,380,125,104000,4945,200,4,1975,1540,435,1975,225,790,200,55,50,530,55,70,452000,480000,870,1020
"4620828.04 (SR), Montréal (RMR) (4620828.04) (00000)",5025,790,3165,1070,2335,900,130,160,95,1045,5,0,0,2335,770,875,350,255,80,80000,5020,340,6.8,2330,1470,865,2330,75,645,420,580,55,30,10,515,380000,418400,1200,1468
"4620828.05 (SR), Montréal (RMR) (4620828.05) (00000)",8340,1690,5555,1095,2920,2160,185,0,0,445,125,0,0,2915,450,910,535,735,290,147000,8340,410,4.9,2915,2550,365,2915,55,645,270,385,625,405,280,250,750000,798000,1360,1420
"4620828.06 (SR), Montréal (RMR) (4620828.06) (00000)",4685,1055,2725,905,1505,720,265,220,0,300,0,0,0,1500,245,475,270,375,135,132000,4230,150,3.6,1505,1420,85,1505,10,145,155,90,290,520,170,115,500000,583000,1500,1520
"4620829.00 (SR), Montréal (RMR) (4620829.00) (00000)",8325,1500,5380,1450,3480,2015,240,135,130,940,10,10,5,3480,955,1250,535,520,220,87000,8320,540,6.5,3475,2365,1115,3475,360,1010,565,545,160,195,65,585,352000,372400,970,1034
"4620830.01 (SR), Montréal (RMR) (4620830.01) (00000)",7075,1230,4690,1150,2905,1620,195,40,185,870,0,0,0,2910,795,1045,460,415,195,85000,6975,500,7.2,2905,1910,995,2905,210,1015,630,630,135,50,130,110,352000,365200,840,918
"4620830.03 (SR), Montréal (RMR) (4620830.03) (00000)",6095,965,3715,1415,2290,1130,175,145,50,725,45,5,0,2290,630,785,400,340,130,89000,5475,325,5.9,2260,1815,440,2260,55,555,425,735,45,285,75,85,348000,353600,940,996
"4620830.04 (SR), Montréal (RMR) (4620830.04) (00000)",4185,720,2805,665,1715,1060,70,25,40,425,95,0,0,1710,490,545,305,255,120,95000,4145,195,4.6,1745,1350,395,1745,35,75,300,935,150,65,105,75,352000,369200,1300,1410
"4620831.03 (SR), Montréal (RMR) (4620831.03) (00000)",5175,840,3205,1140,2235,1140,115,20,75,860,0,10,20,2235,685,835,345,235,135,75500,5090,435,8.6,2230,1345,885,2230,195,925,355,140,70,35,255,260,348000,360400,980,976
"4620831.04 (SR), Montréal (RMR) (4620831.04) (00000)",4635,790,3250,595,1805,1095,50,100,15,545,0,0,0,1805,390,635,315,340,125,97000,4635,215,4.6,1815,1345,475,1815,20,385,570,705,75,25,20,15,400000,402400,850,888
"4620831.05 (SR), Montréal (RMR) (4620831.05) (00000)",4680,790,3255,635,1740,1440,0,5,15,280,0,0,0,1740,280,660,330,335,135,110000,4670,160,3.4,1735,1570,165,1735,15,75,1125,245,10,10,145,105,400000,404800,1090,1090
"4620831.07 (SR), Montréal (RMR) (4620831.07) (00000)",3090,585,1990,520,1240,800,80,5,45,25,0,10,280,1245,305,450,215,180,95,88000,3080,230,7.5,1235,1065,170,1235,225,470,155,110,30,70,100,80,376000,383000,870,880
"4620831.08 (SR), Montréal (RMR) (4620831.08) (00000)",10575,2490,6870,1220,3780,1980,535,190,75,995,0,0,0,3785,720,1130,725,835,370,111000,10480,420,4,3780,2995,790,3780,170,485,475,230,610,95,750,965,448000,446400,1250,1146
"4620831.09 (SR), Montréal (RMR) (4620831.09) (00000)",4130,980,2770,380,1445,1075,165,15,45,145,0,0,0,1440,230,435,285,340,150,111000,4130,170,4.1,1450,1265,185,1450,85,230,365,345,55,315,45,10,352000,378000,1020,1030
"4620833.00 (SR), Montréal (RMR) (4620833.00) (00000)",7595,1625,5050,920,2855,1570,425,90,50,425,0,5,285,2855,575,1025,560,475,225,103000,7415,355,4.8,2860,2445,410,2860,255,400,250,225,450,230,420,630,424000,441200,1090,1152
"4620834.00 (SR), Montréal (RMR) (4620834.00) (00000)",2770,470,1830,470,1070,875,35,10,40,95,0,10,0,1075,250,410,160,165,85,94000,2690,175,6.5,1070,825,250,1070,270,335,135,95,55,80,30,70,376000,373000,880,880
"4620850.03 (SR), Montréal (RMR) (4620850.03) (00000)",5150,1005,3240,905,2110,1000,50,35,30,995,0,5,0,2110,685,685,300,310,130,81000,4905,445,9.1,2080,1180,900,2080,190,620,425,340,155,185,130,35,400000,436000,830,864
"4620850.04 (SR), Montréal (RMR) (4620850.04) (00000)",4880,1150,3310,415,1705,1365,85,65,5,190,0,0,5,1705,260,535,315,430,160,130000,4875,95,2,1705,1640,65,1705,25,325,175,340,240,145,370,75,424000,459600,620,640
"4620850.05 (SR), Montréal (RMR) (4620850.05) (00000)",3525,820,2400,305,1360,735,135,90,5,400,0,0,0,1365,315,430,275,250,95,102000,3520,180,5.1,1370,1075,295,1370,50,450,225,225,145,175,85,20,360000,373000,900,930
"4620850.06 (SR), Montréal (RMR) (4620850.06) (00000)",5125,985,3385,755,2000,1395,100,0,15,495,0,0,0,2000,415,765,340,325,160,101000,5105,145,2.8,1995,1655,345,1995,55,820,400,395,115,70,95,45,400000,404400,930,980
"4620850.07 (SR), Montréal (RMR) (4620850.07) (00000)",6795,1920,4280,590,2435,1295,420,55,15,645,0,0,0,2435,485,680,470,560,240,126000,6785,165,2.4,2435,2050,385,2435,10,10,80,210,170,660,580,715,460000,494400,1330,1248
"4620851.00 (SR), Montréal (RMR) (4620851.00) (00000)",5975,850,3590,1535,2785,970,145,55,230,1365,0,20,0,2790,1080,1010,335,255,105,74500,5700,580,10.2,2815,1610,1215,2815,775,390,445,350,115,75,335,330,380000,414400,870,904
"4620852.02 (SR), Montréal (RMR) (4620852.02) (00000)",940,165,605,160,385,330,5,0,25,25,0,5,0,380,90,160,55,60,25,100000,935,70,7.4,385,315,65,385,110,105,55,10,15,0,25,50,424000,464000,800,880
"4620852.03 (SR), Montréal (RMR) (4620852.03) (00000)",2190,375,1505,310,800,740,5,0,40,10,0,0,0,800,125,290,150,165,65,133000,2185,90,4,755,695,60,755,115,165,85,90,135,80,25,65,600000,752000,800,880
"4620852.04 (SR), Montréal (RMR) (4620852.04) (00000)",5505,1330,3675,490,2065,1395,180,0,120,305,0,60,0,2065,440,650,370,430,175,115000,5495,245,4.4,2095,1860,230,2095,110,270,145,90,120,130,465,765,496000,535500,1250,1200
"4620852.05 (SR), Montréal (RMR) (4620852.05) (00000)",3115,680,2045,390,1030,975,30,0,20,0,0,5,0,1030,120,345,175,245,145,137000,3115,115,3.7,1040,1000,40,1040,85,210,155,100,275,85,60,75,600000,606000,1000,1000
"4620853.02 (SR), Montréal (RMR) (4620853.02) (00000)",5630,1095,3685,850,2165,1455,175,35,30,280,0,10,185,2165,530,715,350,400,175,103000,5520,250,4.5,2165,1900,265,2165,115,610,330,435,505,50,85,30,380000,402400,840,785
"4620853.03 (SR), Montréal (RMR) (4620853.03) (00000)",5810,1105,3775,930,2440,1215,155,15,35,1005,0,5,0,2440,680,880,390,350,140,97000,5770,245,4.2,2440,1905,540,2440,170,500,305,240,475,365,155,220,352000,382000,1090,1204
"4620853.04 (SR), Montréal (RMR) (4620853.04) (00000)",5610,1160,3755,700,1955,1855,15,5,55,15,0,10,0,1955,250,665,385,465,190,126000,5610,145,2.6,1955,1895,60,1955,130,675,345,420,230,105,25,30,420000,451600,785,880
"4620854.01 (SR), Montréal (RMR) (4620854.01) (00000)",5485,970,3120,1390,1975,1825,10,0,20,125,0,0,0,1970,340,760,305,405,160,142000,5255,175,3.3,1980,1840,135,1980,455,1055,245,120,40,35,0,25,650000,702000,880,1060
"4620854.02 (SR), Montréal (RMR) (4620854.02) (00000)",5980,970,3545,1470,2350,2025,15,0,30,180,90,10,0,2350,410,1010,365,405,155,128000,5975,195,3.2,2350,2210,145,2350,85,1270,490,175,95,90,80,65,516000,623500,860,1000
"4620855.01 (SR), Montréal (RMR) (4620855.01) (00000)",4805,845,2940,1020,1930,1370,370,30,0,160,5,0,0,1935,400,765,335,305,120,108000,4810,160,3.4,1930,1805,125,1930,330,1230,110,100,60,45,45,15,424000,450400,930,960
"4620855.03 (SR), Montréal (RMR) (4620855.03) (00000)",6485,995,3725,1770,3045,1280,65,105,30,1495,55,10,0,3045,1175,1035,375,320,135,84000,6380,520,8.1,3045,2060,985,3045,330,1415,480,455,80,55,90,130,448000,466800,930,994
"4620855.04 (SR), Montréal (RMR) (4620855.04) (00000)",3515,870,2245,405,1145,895,45,75,5,135,0,0,0,1150,125,340,190,350,135,180000,3510,60,1.7,1135,1080,60,1135,30,65,60,95,175,400,245,65,700000,706000,1640,1700
"4620856.00 (SR), Montréal (RMR) (4620856.00) (00000)",3595,560,2490,540,1770,315,150,15,35,970,35,5,245,1775,705,635,215,165,60,75500,3590,325,9,1760,795,965,1760,185,250,115,125,40,75,295,670,320000,319000,1210,1216
"4620857.01 (SR), Montréal (RMR) (4620857.01) (00000)",5310,830,3110,1370,2295,1330,95,25,75,765,0,0,0,2290,750,780,305,290,170,75500,5310,500,9.5,2275,1435,840,2275,175,1090,550,40,25,15,30,345,400000,393200,900,1312
"4620857.02 (SR), Montréal (RMR) (4620857.02) (00000)",4290,815,2680,805,1670,1130,85,0,60,385,10,5,0,1665,385,585,300,260,145,83000,4275,370,8.7,1680,1185,495,1680,265,965,260,55,20,20,10,90,348000,370000,820,844
"4620857.06 (SR), Montréal (RMR) (4620857.06) (00000)",5695,1040,3690,970,2250,1290,235,30,75,615,0,5,0,2245,585,755,350,370,190,89000,5660,385,6.8,2250,1685,565,2250,180,1150,560,160,60,95,15,40,376000,364400,810,872
"4620857.07 (SR), Montréal (RMR) (4620857.07) (00000)",7505,1405,5165,940,2695,1850,190,15,60,575,5,5,0,2700,485,925,465,525,295,112000,7475,280,3.8,2700,2245,455,2700,45,310,1020,575,235,205,240,70,400000,425600,1020,1008
"4620857.08 (SR), Montréal (RMR) (4620857.08) (00000)",5835,775,3450,1615,2960,550,35,0,115,2235,0,10,0,2955,1300,1045,280,220,105,65000,5705,605,10.6,2965,1965,1000,2965,90,495,480,645,405,375,415,60,260000,306400,920,1098
"4620857.09 (SR), Montréal (RMR) (4620857.09) (00000)",5425,795,3615,1010,2320,1070,35,130,55,1025,0,0,0,2320,695,815,350,320,140,94000,5420,310,5.7,2285,1855,430,2285,25,55,695,375,245,380,305,205,400000,417600,1260,1320
"4620857.10 (SR), Montréal (RMR) (4620857.10) (00000)",7885,1510,5350,1035,3110,1685,150,130,215,890,0,35,0,3105,815,1055,480,500,255,102000,7765,355,4.6,3100,2640,455,3100,165,360,430,190,65,330,475,1080,400000,439200,1070,1140
"4620857.11 (SR), Montréal (RMR) (4620857.11) (00000)",3605,535,2480,590,1505,805,75,0,15,330,0,0,285,1500,395,560,245,210,95,87000,3590,190,5.3,1505,1380,125,1505,40,385,605,135,25,90,205,20,300000,290000,1100,1040
"4620857.12 (SR), Montréal (RMR) (4620857.12) (00000)",4055,715,2625,710,1520,1110,140,30,60,170,10,0,0,1520,280,560,290,250,140,92000,4055,185,4.5,1525,1220,310,1525,80,1010,270,35,15,15,15,90,348000,364000,830,920
"4620858.01 (SR), Montréal (RMR) (4620858.01) (00000)",4910,870,3130,910,1855,1425,190,0,85,160,0,0,0,1860,340,710,320,315,175,90000,4910,285,5.8,1845,1625,220,1845,315,1170,55,45,35,35,75,115,348000,363600,1000,1020
"4620858.02 (SR), Montréal (RMR) (4620858.02) (00000)",3990,690,2530,770,1585,1005,120,50,65,140,190,0,0,1580,395,570,245,235,140,77500,3970,420,10.6,1590,1125,465,1590,300,990,105,45,20,20,25,80,348000,364000,870,900
"4620858.04 (SR), Montréal (RMR) (4620858.04) (00000)",5775,1120,3675,980,2055,1515,335,5,75,125,0,0,0,2050,330,725,355,395,245,105000,5775,265,4.5,2080,1885,195,2080,80,1220,210,125,60,50,200,140,400000,422800,960,1070
"4620858.05 (SR), Montréal (RMR) (4620858.05) (00000)",3320,670,2230,415,1180,870,85,5,70,135,0,5,0,1175,200,385,220,250,120,104000,3300,190,5.7,1185,1015,165,1185,105,220,195,335,55,40,80,155,400000,433000,960,1000
"4620859.00 (SR), Montréal (RMR) (4620859.00) (00000)",3250,600,2165,485,1200,655,95,10,160,265,0,10,0,1195,270,380,210,200,140,81000,3255,380,11.6,1175,770,405,1175,155,280,185,80,55,85,110,220,492000,506000,920,1044
"4620860.01 (SR), Montréal (RMR) (4620860.01) (00000)",6200,1055,3850,1290,2435,1220,240,595,10,370,0,0,0,2435,590,840,420,390,205,85000,6200,440,7.1,2435,2025,410,2435,80,1865,215,140,85,50,0,0,348000,370800,730,852
"4620860.02 (SR), Montréal (RMR) (4620860.02) (00000)",4025,765,2520,740,1600,665,65,190,50,630,0,0,0,1600,460,500,270,210,160,75000,3980,550,13.9,1655,825,825,1655,445,1015,115,30,15,0,0,15,424000,437000,910,966
"4620861.00 (SR), Montréal (RMR) (4620861.00) (00000)",6970,1080,4240,1650,3320,980,130,95,120,1750,220,25,5,3325,1445,995,415,340,135,60800,6740,1165,17.3,3355,1680,1675,3355,1270,970,360,310,155,50,60,180,400000,444800,785,858
"4620862.00 (SR), Montréal (RMR) (4620862.00) (00000)",6835,1025,3540,2265,3155,775,60,315,0,1420,595,0,0,3160,1350,980,335,365,130,83000,6440,710,11,3160,2130,1025,3160,385,1430,1020,220,55,20,20,10,500000,576500,930,1004
"4620863.01 (SR), Montréal (RMR) (4620863.01) (00000)",3685,660,2100,930,1600,790,120,20,15,490,160,0,0,1595,575,475,210,235,90,96000,3605,285,7.8,1595,1040,555,1595,630,760,125,30,20,15,0,10,750000,792000,1030,1080
"4620863.02 (SR), Montréal (RMR) (4620863.02) (00000)",7100,790,3905,2405,3695,505,210,95,60,1120,1690,20,0,3700,1930,1085,320,290,75,73000,6605,765,11.6,3700,1725,1980,3700,945,1020,360,410,80,135,220,525,500000,615000,1080,1207
"4620864.00 (SR), Montréal (RMR) (4620864.00) (00000)",5140,940,3250,955,2100,960,335,55,110,630,5,5,0,2100,580,700,310,355,150,129000,5140,265,5.2,2100,1525,575,2100,1730,280,55,0,10,10,0,10,800000,868000,970,1132
"4620865.00 (SR), Montréal (RMR) (4620865.00) (00000)",1830,270,1280,285,985,135,10,10,165,610,45,10,0,990,525,250,105,60,40,52000,1815,375,20.6,1015,350,660,1015,430,290,80,45,105,15,10,35,300000,344000,750,786
"4620866.00 (SR), Montréal (RMR) (4620866.00) (00000)",3225,470,2235,515,1750,115,35,55,360,1190,5,5,0,1750,870,525,190,110,50,50800,3210,720,22.5,1715,355,1360,1715,770,600,130,80,10,30,35,50,348000,352000,775,815
"4620867.00 (SR), Montréal (RMR) (4620867.00) (00000)",6930,1140,4605,1190,3365,530,75,105,435,2170,5,40,0,3360,1540,990,415,260,160,60800,6695,1055,15.8,3365,1145,2215,3365,685,1055,530,490,55,155,80,310,300000,313000,830,878
"4620868.01 (SR), Montréal (RMR) (4620868.01) (00000)",6180,1130,3935,1120,2475,1390,180,0,210,690,0,0,0,2475,640,880,390,340,225,77500,6175,675,10.9,2475,1520,955,2475,310,1165,430,130,40,60,35,300,376000,377600,850,986
"4620868.02 (SR), Montréal (RMR) (4620868.02) (00000)",6590,1270,4415,905,2865,845,50,15,410,1525,0,15,5,2860,980,915,435,335,195,65000,6550,980,14.9,2805,950,1855,2805,610,1065,255,180,25,60,160,455,348000,367000,910,1008
"4620869.00 (SR), Montréal (RMR) (4620869.00) (00000)",3145,500,1825,820,1300,385,220,360,0,230,105,0,0,1300,360,490,175,185,90,80000,3090,220,7.1,1290,830,465,1290,90,730,220,20,0,0,30,190,348000,343000,940,1036
"4620870.01 (SR), Montréal (RMR) (4620870.01) (00000)",3735,770,2400,565,1600,20,155,155,5,1260,0,0,0,1600,510,525,265,185,120,67000,3720,545,14.7,1610,510,1100,1610,160,1195,155,60,15,15,15,0,348000,366000,810,806
"4620870.02 (SR), Montréal (RMR) (4620870.02) (00000)",2305,400,1435,465,1015,410,30,0,10,570,0,0,0,1015,335,345,150,120,60,65500,2305,325,14.2,1005,445,560,1005,185,675,65,60,0,10,0,10,348000,346000,795,796
"4620871.01 (SR), Montréal (RMR) (4620871.01) (00000)",3865,690,2405,770,1800,520,65,20,45,1060,95,5,0,1795,725,565,215,185,115,58400,3850,710,18.5,1805,640,1170,1805,260,1090,210,115,40,25,25,40,348000,358000,830,818
"4620871.02 (SR), Montréal (RMR) (4620871.02) (00000)",2055,340,1305,410,840,355,90,0,0,390,0,0,0,835,230,290,145,115,65,77500,2055,160,7.7,840,530,310,840,35,710,55,0,0,25,0,0,364000,400000,840,850
"4620872.00 (SR), Montréal (RMR) (4620872.00) (00000)",6670,1295,4420,955,3040,520,95,15,255,2145,0,10,0,3040,1210,910,395,300,220,58800,6640,1135,17,3040,975,2060,3040,645,1315,455,230,90,100,75,130,300000,320000,830,853
"4620873.01 (SR), Montréal (RMR) (4620873.01) (00000)",4450,895,3010,545,1990,105,55,20,45,1765,0,5,0,1990,760,615,270,185,160,54400,4450,970,21.7,1960,280,1680,1960,295,1110,235,155,45,25,40,45,348000,392000,840,847
