SRIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
"4620116.00 (SR), Montréal (RMR) (4620116.00) (00000)",6765,870,4855,1045,3085,30,35,35,415,2350,220,0,0,3090,1270,920,430,315,150,52400,6480,1650,25.5,3090,340,2750,3090,1360,945,260,270,105,80,30,30,650000,712000,900,951
"4620117.00 (SR), Montréal (RMR) (4620117.00) (00000)",4240,630,2935,680,1520,0,0,0,30,1220,270,0,0,1520,395,410,320,245,145,64500,3975,675,17,1525,160,1365,1525,490,600,180,165,40,30,15,0,650000,645000,820,855
"4620118.00 (SR), Montréal (RMR) (4620118.00) (00000)",4400,780,3075,540,1590,5,25,0,100,1455,0,0,0,1590,395,445,300,240,210,65500,4380,745,17,1585,295,1285,1585,780,355,170,180,50,20,10,20,700000,745000,880,936
"4620119.00 (SR), Montréal (RMR) (4620119.00) (00000)",6140,1130,4345,675,2390,0,15,0,35,2220,125,0,0,2390,750,555,440,390,250,55600,6120,1370,22.4,2390,280,2110,2390,1020,710,230,260,60,50,25,20,650000,624000,765,791
"4620120.01 (SR), Montréal (RMR) (4620120.01) (00000)",7340,995,5740,600,3645,80,115,50,10,940,2455,0,0,3650,1570,1130,500,300,150,63600,7330,1545,21.1,3575,1360,2215,3575,450,400,155,140,65,345,1170,850,420000,449600,1030,1122
"4620120.02 (SR), Montréal (RMR) (4620120.02) (00000)",1115,170,555,390,480,55,35,30,30,30,295,0,0,480,155,170,55,45,45,115000,1110,50,4.6,480,415,65,480,0,65,170,120,60,45,10,10,650000,772000,1940,2100
"4620121.00 (SR), Montréal (RMR) (4620121.00) (00000)",2080,400,1115,570,695,120,170,60,45,115,180,0,0,700,170,200,125,145,65,109000,1850,195,10.7,730,420,315,730,370,205,30,110,20,0,0,0,1000000,1048000,1340,1430
"4620122.00 (SR), Montréal (RMR) (4620122.00) (00000)",6515,1090,4675,750,2990,0,5,0,40,2915,0,20,0,2985,1365,705,395,310,215,42400,6345,1995,31.4,2985,190,2805,2985,1010,950,365,365,105,75,40,70,500000,584000,750,776
"4620123.00 (SR), Montréal (RMR) (4620123.00) (00000)",6480,925,4835,720,3215,5,0,0,100,2410,695,5,0,3215,1495,930,410,250,130,46800,6295,1775,28.2,3215,255,2955,3215,1100,1235,345,315,125,60,30,20,440000,600000,880,911
"4620124.00 (SR), Montréal (RMR) (4620124.00) (00000)",5870,1100,4280,490,2690,10,5,0,40,2135,495,5,0,2690,1150,735,345,270,195,49200,5850,1485,25.4,2690,310,2380,2690,980,1015,240,185,95,70,55,45,695000,685000,840,887
"4620125.00 (SR), Montréal (RMR) (4620125.00) (00000)",6340,1180,3505,1665,2705,25,15,0,145,895,1600,20,0,2710,1020,930,290,210,260,82000,6315,930,14.7,2675,1175,1500,2675,845,775,765,145,45,25,10,65,850000,942000,1080,1250
"4620126.00 (SR), Montréal (RMR) (4620126.00) (00000)",2280,195,1845,235,965,10,10,0,110,640,190,0,0,960,370,325,145,85,30,56000,1985,555,27.9,970,280,690,970,600,205,60,55,30,15,0,0,800000,840000,1020,1178
"4620127.01 (SR), Montréal (RMR) (4620127.01) (00000)",5575,455,4310,805,3355,25,30,5,90,2140,1070,5,0,3360,1915,950,285,150,55,41200,5565,1970,35.4,3365,395,2970,3365,1220,1215,355,240,95,55,90,100,448000,640000,930,1005
"4620128.00 (SR), Montréal (RMR) (4620128.00) (00000)",3835,340,2450,1050,1975,180,110,155,20,440,1075,0,0,1975,820,730,235,140,55,92000,3820,650,17,2060,915,1140,2060,965,490,285,95,80,10,25,110,1300000,1740000,1290,1472
"4620129.01 (SR), Montréal (RMR) (4620129.01) (01010)",4245,290,2790,1170,2425,10,0,120,15,260,2015,5,0,2425,1240,800,225,105,55,66500,4230,980,23.1,2440,820,1620,2440,660,1295,235,125,55,45,15,0,880000,1244000,1440,1592
"4620129.02 (SR), Montréal (RMR) (4620129.02) (01010)",3600,165,2590,845,2130,0,0,40,0,115,1975,0,0,2130,1120,700,210,75,25,49600,3590,1280,35.7,2040,355,1680,2040,555,900,220,190,85,45,25,20,1000000,1248000,1640,1780
"4620130.00 (SR), Montréal (RMR) (4620130.00) (01010)",3020,70,2715,225,2080,0,0,30,5,970,1070,0,0,2080,1440,470,105,50,15,30000,2990,1455,48.7,2020,215,1810,2020,615,680,265,220,90,100,40,10,500000,584000,900,1087
"4620131.00 (SR), Montréal (RMR) (4620131.00) (01010)",3200,150,2600,460,2105,0,5,10,30,540,1510,5,0,2100,1395,500,120,60,25,32800,3140,1395,44.4,2145,130,2010,2145,530,1000,250,170,105,30,40,25,552000,700000,1100,1217
"4620132.00 (SR), Montréal (RMR) (4620132.00) (00010)",5150,210,4060,885,3205,5,0,60,100,1200,1825,20,0,3210,2190,745,160,80,35,39200,4660,1645,35.3,3225,305,2920,3225,1010,1430,400,235,90,45,0,20,680000,730000,970,1037
"4620133.00 (SR), Montréal (RMR) (4620133.00) (00000)",2645,155,2245,250,1570,0,0,60,130,860,515,0,0,1570,895,440,145,60,35,46400,2625,905,34.4,1505,275,1230,1505,575,465,120,155,55,45,15,70,600000,685000,1090,1216
"4620134.00 (SR), Montréal (RMR) (4620134.00) (00000)",1135,80,875,185,645,0,0,10,25,485,125,0,0,645,315,220,70,30,5,72500,1135,215,19,645,315,330,645,355,65,15,35,55,110,15,0,604000,745000,1260,1310
"4620135.00 (SR), Montréal (RMR) (4620135.00) (00000)",1720,200,1265,255,855,0,0,40,205,595,5,5,0,855,410,245,90,75,25,65000,1640,285,17.2,835,300,535,835,610,115,50,35,10,10,0,15,850000,840000,1140,1180
"4620136.00 (SR), Montréal (RMR) (4620136.00) (00000)",2860,240,2370,255,1515,5,0,60,140,1300,15,0,0,1515,705,475,190,105,40,56800,2850,765,26.8,1490,445,1050,1490,860,240,125,120,25,30,80,15,695000,744000,1150,1226
"4620137.00 (SR), Montréal (RMR) (4620137.00) (00000)",1165,60,965,140,645,0,0,0,65,435,135,5,0,645,370,150,80,40,15,41600,1120,390,35,655,95,555,655,345,130,95,45,0,10,0,20,572000,610000,1000,1276
"4620138.00 (SR), Montréal (RMR) (4620138.00) (00000)",2075,115,1695,265,1070,0,0,0,10,945,105,0,0,1065,490,345,135,65,35,56800,2015,600,30,1055,280,775,1055,570,170,95,135,35,35,0,0,600000,710000,1310,1320
"4620139.00 (SR), Montréal (RMR) (4620139.00) (00000)",3225,335,2600,285,1705,0,0,50,165,1360,125,10,0,1705,765,585,180,130,40,64500,3210,690,21.4,1730,635,1095,1730,840,285,145,250,70,80,25,40,600000,688000,1130,1216
